naics_sector,fiscal_year,total,month_name,month,year
"Accounting, Auditing, Bookkeeping",2011,1174413.0,feb,2,2011
Advertising and Other Professional Services,2011,1422891.0,feb,2,2011
Hotels,2011,701292.0,feb,2,2011
Restaurants,2011,2714334.0,feb,2,2011
Sport Teams,2011,969648.0,feb,2,2011
"Arts, Entertainment, and Other Recreation",2011,673214.0,feb,2,2011
Other Sectors,2011,7879892.0,feb,2,2011
Membership Organizations,2011,2262927.0,feb,2,2011
Employment/Outsourcing Agencies,2011,2005061.0,feb,2,2011
Security and Investigation Services,2011,536834.0,feb,2,2011
Services to Buildings,2011,811744.0,feb,2,2011
Miscellaneous Sectors,2011,2263326.0,feb,2,2011
Government,2011,16503317.0,feb,2,2011
State Government (PA),2011,1409033.0,feb,2,2011
"City, School District, Local Quasi Govt.",2011,9308267.0,feb,2,2011
Federal Government (includes US Post Office),2011,5605249.0,feb,2,2011
Other Governments,2011,180767.0,feb,2,2011
Unclassified Accounts,2011,191049.0,feb,2,2011
Construction,2011,2651040.0,mar,3,2011
Manufacturing (includes headquarter offices & factories),2011,12338157.0,mar,3,2011
"Chemicals, Petroleum Refining",2011,3803833.0,mar,3,2011
Pharmaceuticals,2011,3132004.0,mar,3,2011
Transportation Equipment,2011,1164791.0,mar,3,2011
Food & Beverage Products,2011,1189670.0,mar,3,2011
"Machinery, Electronic, and Other Electric Equipment",2011,709148.0,mar,3,2011
Metal Manufacturing,2011,734166.0,mar,3,2011
Miscellaneous Manufacturing,2011,1604546.0,mar,3,2011
Public Utilities,2011,838415.0,mar,3,2011
Transportation and Warehousing,2011,4224959.0,mar,3,2011
Telecommunication,2011,6880185.0,mar,3,2011
"Publishing, Broadcasting, and Other Information",2011,1862083.0,mar,3,2011
Wholesale Trade,2011,2216738.0,mar,3,2011
Retail Trade,2011,5016488.0,mar,3,2011
Banking & Credit Unions,2011,3493112.0,mar,3,2011
Securities / Financial Investments,2011,4916291.0,mar,3,2011
Insurance,2011,9067073.0,mar,3,2011
"Real Estate, Rental and Leasing",2011,2027766.0,mar,3,2011
Health and Social Services,2011,24536696.0,mar,3,2011
Hospitals,2011,14096118.0,mar,3,2011
"Doctors, Dentists, and Other Health Practitioners",2011,2713039.0,mar,3,2011
Outpatient Care Centers and Other Health Services,2011,3270532.0,mar,3,2011
Nursing & Personal Care Facilities,2011,2367903.0,mar,3,2011
Social Services,2011,2089104.0,mar,3,2011
Education,2011,11128186.0,mar,3,2011
College and Universities,2011,8820872.0,mar,3,2011
"Elementary, Secondary Schools (except public schools)",2011,1558924.0,mar,3,2011
Other Educational Services,2011,748390.0,mar,3,2011
Professional  Services,2011,11501502.0,mar,3,2011
Legal Services,2011,4569812.0,mar,3,2011
Management Consulting,2011,2372333.0,mar,3,2011
Engineering & Architectural Services,2011,1301954.0,mar,3,2011
Computer,2011,952420.0,mar,3,2011
"Accounting, Auditing, Bookkeeping",2011,1047362.0,mar,3,2011
Advertising and Other Professional Services,2011,1257622.0,mar,3,2011
Hotels,2011,739045.0,mar,3,2011
Restaurants,2011,2478942.0,mar,3,2011
Sport Teams,2011,754804.0,mar,3,2011
"Arts, Entertainment, and Other Recreation",2011,664705.0,mar,3,2011
Other Sectors,2011,7531784.0,mar,3,2011
Membership Organizations,2011,2163151.0,mar,3,2011
Employment/Outsourcing Agencies,2011,1492119.0,mar,3,2011
Security and Investigation Services,2011,530004.0,mar,3,2011
Services to Buildings,2011,747050.0,mar,3,2011
Miscellaneous Sectors,2011,2599459.0,mar,3,2011
Government,2011,18021042.0,mar,3,2011
State Government (PA),2011,950196.0,mar,3,2011
"City, School District, Local Quasi Govt.",2011,11119736.0,mar,3,2011
Federal Government (includes US Post Office),2011,5802609.0,mar,3,2011
Other Governments,2011,148501.0,mar,3,2011
Unclassified Accounts,2011,85895.0,mar,3,2011
Construction,2011,3089573.0,apr,4,2011
Manufacturing (includes headquarter offices & factories),2011,8309876.0,apr,4,2011
"Chemicals, Petroleum Refining",2011,1703650.0,apr,4,2011
Pharmaceuticals,2011,1522400.0,apr,4,2011
Transportation Equipment,2011,768700.0,apr,4,2011
Food & Beverage Products,2011,1019982.0,apr,4,2011
"Machinery, Electronic, and Other Electric Equipment",2011,609021.0,apr,4,2011
Metal Manufacturing,2011,801641.0,apr,4,2011
Miscellaneous Manufacturing,2011,1884483.0,apr,4,2011
Public Utilities,2011,896243.0,apr,4,2011
Transportation and Warehousing,2011,3603861.0,apr,4,2011
Telecommunication,2011,2958456.0,apr,4,2011
"Publishing, Broadcasting, and Other Information",2011,1659777.0,apr,4,2011
Wholesale Trade,2011,2676468.0,apr,4,2011
Retail Trade,2011,5733464.0,apr,4,2011
Banking & Credit Unions,2011,3113704.0,apr,4,2011
Securities / Financial Investments,2011,3167717.0,apr,4,2011
Insurance,2011,4568091.0,apr,4,2011
"Real Estate, Rental and Leasing",2011,1829619.0,apr,4,2011
Health and Social Services,2011,22871037.0,apr,4,2011
Hospitals,2011,12377124.0,apr,4,2011
"Doctors, Dentists, and Other Health Practitioners",2011,2716286.0,apr,4,2011
Outpatient Care Centers and Other Health Services,2011,3018299.0,apr,4,2011
Nursing & Personal Care Facilities,2011,2472076.0,apr,4,2011
Social Services,2011,2287253.0,apr,4,2011
Education,2011,10600182.0,apr,4,2011
College and Universities,2011,8298053.0,apr,4,2011
"Elementary, Secondary Schools (except public schools)",2011,1568250.0,apr,4,2011
Other Educational Services,2011,733879.0,apr,4,2011
Professional  Services,2011,10797082.0,apr,4,2011
Legal Services,2011,4096121.0,apr,4,2011
Management Consulting,2011,1978642.0,apr,4,2011
Engineering & Architectural Services,2011,1375973.0,apr,4,2011
Computer,2011,850809.0,apr,4,2011
"Accounting, Auditing, Bookkeeping",2011,1112151.0,apr,4,2011
Advertising and Other Professional Services,2011,1383386.0,apr,4,2011
Hotels,2011,706772.0,apr,4,2011
Restaurants,2011,2699274.0,apr,4,2011
Sport Teams,2011,1067449.0,apr,4,2011
"Arts, Entertainment, and Other Recreation",2011,603543.0,apr,4,2011
Other Sectors,2011,8110226.0,apr,4,2011
Membership Organizations,2011,2372136.0,apr,4,2011
Employment/Outsourcing Agencies,2011,1997447.0,apr,4,2011
Security and Investigation Services,2011,632879.0,apr,4,2011
Services to Buildings,2011,842464.0,apr,4,2011
Miscellaneous Sectors,2011,2265301.0,apr,4,2011
Government,2011,17211973.0,apr,4,2011
State Government (PA),2011,956195.0,apr,4,2011
"City, School District, Local Quasi Govt.",2011,9238856.0,apr,4,2011
Federal Government (includes US Post Office),2011,6848655.0,apr,4,2011
Other Governments,2011,168267.0,apr,4,2011
Unclassified Accounts,2011,120996.0,apr,4,2011
Construction,2011,3599778.0,may,5,2011
Manufacturing (includes headquarter offices & factories),2011,8137875.0,may,5,2011
"Chemicals, Petroleum Refining",2011,1303736.0,may,5,2011
Pharmaceuticals,2011,1477644.0,may,5,2011
Transportation Equipment,2011,724612.0,may,5,2011
Food & Beverage Products,2011,1114458.0,may,5,2011
"Machinery, Electronic, and Other Electric Equipment",2011,833952.0,may,5,2011
Metal Manufacturing,2011,666809.0,may,5,2011
Miscellaneous Manufacturing,2011,2016663.0,may,5,2011
Public Utilities,2011,822245.0,may,5,2011
Transportation and Warehousing,2011,3890626.0,may,5,2011
Telecommunication,2011,3164434.0,may,5,2011
"Publishing, Broadcasting, and Other Information",2011,1778463.0,may,5,2011
Wholesale Trade,2011,3340116.0,may,5,2011
Retail Trade,2011,6288468.0,may,5,2011
Banking & Credit Unions,2011,2758490.0,may,5,2011
Securities / Financial Investments,2011,3381794.0,may,5,2011
Insurance,2011,3726444.0,may,5,2011
"Real Estate, Rental and Leasing",2011,2034590.0,may,5,2011
Health and Social Services,2011,25764137.0,may,5,2011
Hospitals,2011,13043169.0,may,5,2011
"Doctors, Dentists, and Other Health Practitioners",2011,3880628.0,may,5,2011
Outpatient Care Centers and Other Health Services,2011,3562902.0,may,5,2011
Nursing & Personal Care Facilities,2011,2748297.0,may,5,2011
Social Services,2011,2529141.0,may,5,2011
Education,2011,11341148.0,may,5,2011
College and Universities,2011,8549944.0,may,5,2011
"Elementary, Secondary Schools (except public schools)",2011,1803746.0,may,5,2011
Other Educational Services,2011,987458.0,may,5,2011
Professional  Services,2011,13374727.0,may,5,2011
Legal Services,2011,4757976.0,may,5,2011
Management Consulting,2011,2883196.0,may,5,2011
Engineering & Architectural Services,2011,1378098.0,may,5,2011
Computer,2011,1194018.0,may,5,2011
"Accounting, Auditing, Bookkeeping",2011,1253448.0,may,5,2011
Advertising and Other Professional Services,2011,1907991.0,may,5,2011
Hotels,2011,740743.0,may,5,2011
Restaurants,2011,3584702.0,may,5,2011
Sport Teams,2011,1611535.0,may,5,2011
"Arts, Entertainment, and Other Recreation",2011,1010059.0,may,5,2011
Other Sectors,2011,9192618.0,may,5,2011
Membership Organizations,2011,2721774.0,may,5,2011
Employment/Outsourcing Agencies,2011,1816091.0,may,5,2011
Security and Investigation Services,2011,544339.0,may,5,2011
Services to Buildings,2011,957862.0,may,5,2011
Miscellaneous Sectors,2011,3152552.0,may,5,2011
Government,2011,16277232.0,may,5,2011
State Government (PA),2011,1134291.0,may,5,2011
"City, School District, Local Quasi Govt.",2011,9105122.0,may,5,2011
Federal Government (includes US Post Office),2011,5856950.0,may,5,2011
Other Governments,2011,180869.0,may,5,2011
Unclassified Accounts,2011,311883.0,may,5,2011
Construction,2011,2656877.0,jun,6,2011
Manufacturing (includes headquarter offices & factories),2011,7627853.0,jun,6,2011
"Chemicals, Petroleum Refining",2011,1341077.0,jun,6,2011
Pharmaceuticals,2011,1564810.0,jun,6,2011
Transportation Equipment,2011,871390.0,jun,6,2011
Food & Beverage Products,2011,1153033.0,jun,6,2011
"Machinery, Electronic, and Other Electric Equipment",2011,573635.0,jun,6,2011
Metal Manufacturing,2011,644467.0,jun,6,2011
Miscellaneous Manufacturing,2011,1479442.0,jun,6,2011
Public Utilities,2011,939829.0,jun,6,2011
Transportation and Warehousing,2011,4039249.0,jun,6,2011
Telecommunication,2011,2277784.0,jun,6,2011
"Publishing, Broadcasting, and Other Information",2011,1466145.0,jun,6,2011
Wholesale Trade,2011,2340367.0,jun,6,2011
Retail Trade,2011,4941965.0,jun,6,2011
Banking & Credit Unions,2011,2280418.0,jun,6,2011
Securities / Financial Investments,2011,3536069.0,jun,6,2011
Insurance,2011,3700986.0,jun,6,2011
"Real Estate, Rental and Leasing",2011,1502454.0,jun,6,2011
Health and Social Services,2011,23831368.0,jun,6,2011
Hospitals,2011,13323113.0,jun,6,2011
"Doctors, Dentists, and Other Health Practitioners",2011,2659176.0,jun,6,2011
Outpatient Care Centers and Other Health Services,2011,3157479.0,jun,6,2011
Nursing & Personal Care Facilities,2011,2477956.0,jun,6,2011
Social Services,2011,2213644.0,jun,6,2011
Education,2011,10741006.0,jun,6,2011
College and Universities,2011,8374122.0,jun,6,2011
"Elementary, Secondary Schools (except public schools)",2011,1658280.0,jun,6,2011
Other Educational Services,2011,708605.0,jun,6,2011
Professional  Services,2011,10443690.0,jun,6,2011
Legal Services,2011,4474949.0,jun,6,2011
Management Consulting,2011,1649533.0,jun,6,2011
Engineering & Architectural Services,2011,1200381.0,jun,6,2011
Computer,2011,851764.0,jun,6,2011
"Accounting, Auditing, Bookkeeping",2011,1032337.0,jun,6,2011
Advertising and Other Professional Services,2011,1234727.0,jun,6,2011
Hotels,2011,808582.0,jun,6,2011
Restaurants,2011,2813603.0,jun,6,2011
Sport Teams,2011,1328194.0,jun,6,2011
"Arts, Entertainment, and Other Recreation",2011,669027.0,jun,6,2011
Other Sectors,2011,6590290.0,jun,6,2011
Membership Organizations,2011,2251936.0,jun,6,2011
Employment/Outsourcing Agencies,2011,1041784.0,jun,6,2011
Security and Investigation Services,2011,555454.0,jun,6,2011
Services to Buildings,2011,783923.0,jun,6,2011
Miscellaneous Sectors,2011,1957193.0,jun,6,2011
Government,2011,20369267.0,jun,6,2011
State Government (PA),2011,936127.0,jun,6,2011
"City, School District, Local Quasi Govt.",2011,11738597.0,jun,6,2011
Federal Government (includes US Post Office),2011,7472242.0,jun,6,2011
Other Governments,2011,222301.0,jun,6,2011
Unclassified Accounts,2011,78487.0,jun,6,2011
Construction,2012,3207164.0,jul,7,2011
Manufacturing (includes headquarter offices & factories),2012,7218266.0,jul,7,2011
"Chemicals, Petroleum Refining",2012,1315253.0,jul,7,2011
Pharmaceuticals,2012,1182175.0,jul,7,2011
Transportation Equipment,2012,759803.0,jul,7,2011
Food & Beverage Products,2012,1030193.0,jul,7,2011
"Machinery, Electronic, and Other Electric Equipment",2012,628555.0,jul,7,2011
Metal Manufacturing,2012,627899.0,jul,7,2011
Miscellaneous Manufacturing,2012,1674388.0,jul,7,2011
Public Utilities,2012,863329.0,jul,7,2011
Transportation and Warehousing,2012,3562865.0,jul,7,2011
Telecommunication,2012,1894263.0,jul,7,2011
"Publishing, Broadcasting, and Other Information",2012,1579510.0,jul,7,2011
Wholesale Trade,2012,2530237.0,jul,7,2011
Retail Trade,2012,5111963.0,jul,7,2011
Banking & Credit Unions,2012,2632299.0,jul,7,2011
Securities / Financial Investments,2012,2464267.0,jul,7,2011
Insurance,2012,3647451.0,jul,7,2011
"Real Estate, Rental and Leasing",2012,1624498.0,jul,7,2011
Health and Social Services,2012,24681039.0,jul,7,2011
Hospitals,2012,14034521.0,jul,7,2011
"Doctors, Dentists, and Other Health Practitioners",2012,2838761.0,jul,7,2011
Outpatient Care Centers and Other Health Services,2012,3082544.0,jul,7,2011
Nursing & Personal Care Facilities,2012,2422437.0,jul,7,2011
Social Services,2012,2302777.0,jul,7,2011
Education,2012,11350180.0,jul,7,2011
College and Universities,2012,8975479.0,jul,7,2011
"Elementary, Secondary Schools (except public schools)",2012,1636704.0,jul,7,2011
Other Educational Services,2012,737998.0,jul,7,2011
Professional  Services,2012,10893061.0,jul,7,2011
Legal Services,2012,4304678.0,jul,7,2011
Management Consulting,2012,2005157.0,jul,7,2011
Engineering & Architectural Services,2012,1289726.0,jul,7,2011
Computer,2012,867431.0,jul,7,2011
"Accounting, Auditing, Bookkeeping",2012,1164257.0,jul,7,2011
Advertising and Other Professional Services,2012,1261812.0,jul,7,2011
Hotels,2012,705992.0,jul,7,2011
Restaurants,2012,2721699.0,jul,7,2011
Sport Teams,2012,1167958.0,jul,7,2011
"Arts, Entertainment, and Other Recreation",2012,728814.0,jul,7,2011
Other Sectors,2012,7632014.0,jul,7,2011
Membership Organizations,2012,2461902.0,jul,7,2011
Employment/Outsourcing Agencies,2012,1518082.0,jul,7,2011
Security and Investigation Services,2012,479240.0,jul,7,2011
Services to Buildings,2012,805620.0,jul,7,2011
Miscellaneous Sectors,2012,2367170.0,jul,7,2011
Government,2012,18062792.0,jul,7,2011
State Government (PA),2012,928453.0,jul,7,2011
"City, School District, Local Quasi Govt.",2012,10499064.0,jul,7,2011
Federal Government (includes US Post Office),2012,6451801.0,jul,7,2011
Other Governments,2012,183474.0,jul,7,2011
Unclassified Accounts,2012,156236.0,jul,7,2011
Construction,2012,4008414.0,aug,8,2011
Manufacturing (includes headquarter offices & factories),2012,9062251.0,aug,8,2011
"Chemicals, Petroleum Refining",2012,1315999.0,aug,8,2011
Pharmaceuticals,2012,1830348.0,aug,8,2011
Transportation Equipment,2012,883063.0,aug,8,2011
Food & Beverage Products,2012,1348951.0,aug,8,2011
"Machinery, Electronic, and Other Electric Equipment",2012,811391.0,aug,8,2011
Metal Manufacturing,2012,750053.0,aug,8,2011
Miscellaneous Manufacturing,2012,2122446.0,aug,8,2011
Public Utilities,2012,840251.0,aug,8,2011
Transportation and Warehousing,2012,4698082.0,aug,8,2011
Telecommunication,2012,2181486.0,aug,8,2011
"Publishing, Broadcasting, and Other Information",2012,1966220.0,aug,8,2011
Wholesale Trade,2012,3464829.0,aug,8,2011
Retail Trade,2012,6939817.0,aug,8,2011
Banking & Credit Unions,2012,2809694.0,aug,8,2011
Securities / Financial Investments,2012,3091251.0,aug,8,2011
Insurance,2012,4252086.0,aug,8,2011
"Real Estate, Rental and Leasing",2012,2183240.0,aug,8,2011
Health and Social Services,2012,28426777.0,aug,8,2011
Hospitals,2012,14583067.0,aug,8,2011
"Doctors, Dentists, and Other Health Practitioners",2012,4375768.0,aug,8,2011
Outpatient Care Centers and Other Health Services,2012,3732106.0,aug,8,2011
Nursing & Personal Care Facilities,2012,3030261.0,aug,8,2011
Social Services,2012,2705574.0,aug,8,2011
Education,2012,12117059.0,aug,8,2011
College and Universities,2012,9371967.0,aug,8,2011
"Elementary, Secondary Schools (except public schools)",2012,1737410.0,aug,8,2011
Other Educational Services,2012,1007682.0,aug,8,2011
Professional  Services,2012,14474258.0,aug,8,2011
Legal Services,2012,5485958.0,aug,8,2011
Management Consulting,2012,2888485.0,aug,8,2011
Engineering & Architectural Services,2012,1558779.0,aug,8,2011
Computer,2012,1274201.0,aug,8,2011
"Accounting, Auditing, Bookkeeping",2012,1263730.0,aug,8,2011
Advertising and Other Professional Services,2012,2003105.0,aug,8,2011
Hotels,2012,889476.0,aug,8,2011
Restaurants,2012,3671289.0,aug,8,2011
Sport Teams,2012,1980671.0,aug,8,2011
"Arts, Entertainment, and Other Recreation",2012,995279.0,aug,8,2011
Other Sectors,2012,9903881.0,aug,8,2011
Membership Organizations,2012,2996759.0,aug,8,2011
Employment/Outsourcing Agencies,2012,1955106.0,aug,8,2011
Security and Investigation Services,2012,634163.0,aug,8,2011
Services to Buildings,2012,1039172.0,aug,8,2011
Miscellaneous Sectors,2012,3278680.0,aug,8,2011
Government,2012,20114575.0,aug,8,2011
State Government (PA),2012,1170204.0,aug,8,2011
"City, School District, Local Quasi Govt.",2012,11064193.0,aug,8,2011
Federal Government (includes US Post Office),2012,7685589.0,aug,8,2011
Other Governments,2012,194589.0,aug,8,2011
Unclassified Accounts,2012,353298.0,aug,8,2011
Construction,2012,2992252.0,sep,9,2011
Manufacturing (includes headquarter offices & factories),2012,6747394.0,sep,9,2011
"Chemicals, Petroleum Refining",2012,1135711.0,sep,9,2011
Pharmaceuticals,2012,1245148.0,sep,9,2011
Transportation Equipment,2012,717190.0,sep,9,2011
Food & Beverage Products,2012,985983.0,sep,9,2011
"Machinery, Electronic, and Other Electric Equipment",2012,540687.0,sep,9,2011
Metal Manufacturing,2012,575966.0,sep,9,2011
Miscellaneous Manufacturing,2012,1546708.0,sep,9,2011
Public Utilities,2012,795594.0,sep,9,2011
Transportation and Warehousing,2012,3399448.0,sep,9,2011
Telecommunication,2012,2038655.0,sep,9,2011
"Publishing, Broadcasting, and Other Information",2012,1505461.0,sep,9,2011
Wholesale Trade,2012,2373134.0,sep,9,2011
Retail Trade,2012,4734167.0,sep,9,2011
Banking & Credit Unions,2012,2240080.0,sep,9,2011
Securities / Financial Investments,2012,2485243.0,sep,9,2011
Insurance,2012,3748097.0,sep,9,2011
"Real Estate, Rental and Leasing",2012,1578093.0,sep,9,2011
Health and Social Services,2012,23643811.0,sep,9,2011
Hospitals,2012,13293742.0,sep,9,2011
"Doctors, Dentists, and Other Health Practitioners",2012,2744897.0,sep,9,2011
Outpatient Care Centers and Other Health Services,2012,2869996.0,sep,9,2011
Nursing & Personal Care Facilities,2012,2659004.0,sep,9,2011
Social Services,2012,2076171.0,sep,9,2011
Education,2012,11111330.0,sep,9,2011
College and Universities,2012,9207770.0,sep,9,2011
"Elementary, Secondary Schools (except public schools)",2012,1298360.0,sep,9,2011
Other Educational Services,2012,605200.0,sep,9,2011
Professional  Services,2012,11325291.0,sep,9,2011
Legal Services,2012,4253794.0,sep,9,2011
Management Consulting,2012,2522418.0,sep,9,2011
Engineering & Architectural Services,2012,1230597.0,sep,9,2011
Computer,2012,815478.0,sep,9,2011
"Accounting, Auditing, Bookkeeping",2012,1330114.0,sep,9,2011
Advertising and Other Professional Services,2012,1172889.0,sep,9,2011
Hotels,2012,668666.0,sep,9,2011
Restaurants,2012,2329850.0,sep,9,2011
Sport Teams,2012,1716037.0,sep,9,2011
"Arts, Entertainment, and Other Recreation",2012,665130.0,sep,9,2011
Other Sectors,2012,7068216.0,sep,9,2011
Membership Organizations,2012,2199618.0,sep,9,2011
Employment/Outsourcing Agencies,2012,1456274.0,sep,9,2011
Security and Investigation Services,2012,545530.0,sep,9,2011
Services to Buildings,2012,741086.0,sep,9,2011
Miscellaneous Sectors,2012,2125709.0,sep,9,2011
Government,2012,16510788.0,sep,9,2011
State Government (PA),2012,881120.0,sep,9,2011
"City, School District, Local Quasi Govt.",2012,8893312.0,sep,9,2011
Federal Government (includes US Post Office),2012,6564328.0,sep,9,2011
Other Governments,2012,172028.0,sep,9,2011
Unclassified Accounts,2012,75466.0,sep,9,2011
Construction,2012,4004986.0,oct,10,2011
Manufacturing (includes headquarter offices & factories),2012,8282547.0,oct,10,2011
"Chemicals, Petroleum Refining",2012,1153705.0,oct,10,2011
Pharmaceuticals,2012,1462603.0,oct,10,2011
Transportation Equipment,2012,778981.0,oct,10,2011
Food & Beverage Products,2012,1226273.0,oct,10,2011
"Machinery, Electronic, and Other Electric Equipment",2012,753822.0,oct,10,2011
Metal Manufacturing,2012,812636.0,oct,10,2011
Miscellaneous Manufacturing,2012,2094526.0,oct,10,2011
Public Utilities,2012,938439.0,oct,10,2011
Transportation and Warehousing,2012,3992806.0,oct,10,2011
Telecommunication,2012,2166110.0,oct,10,2011
"Publishing, Broadcasting, and Other Information",2012,1857278.0,oct,10,2011
Wholesale Trade,2012,3367287.0,oct,10,2011
Retail Trade,2012,6349264.0,oct,10,2011
Banking & Credit Unions,2012,2756658.0,oct,10,2011
Securities / Financial Investments,2012,3057500.0,oct,10,2011
Insurance,2012,3988586.0,oct,10,2011
"Real Estate, Rental and Leasing",2012,2152858.0,oct,10,2011
Health and Social Services,2012,26392057.0,oct,10,2011
Hospitals,2012,13379871.0,oct,10,2011
"Doctors, Dentists, and Other Health Practitioners",2012,4004623.0,oct,10,2011
Outpatient Care Centers and Other Health Services,2012,3673089.0,oct,10,2011
Nursing & Personal Care Facilities,2012,2773604.0,oct,10,2011
Social Services,2012,2560870.0,oct,10,2011
Education,2012,12467815.0,oct,10,2011
College and Universities,2012,9324087.0,oct,10,2011
"Elementary, Secondary Schools (except public schools)",2012,2070764.0,oct,10,2011
Other Educational Services,2012,1072965.0,oct,10,2011
Professional  Services,2012,14809605.0,oct,10,2011
Legal Services,2012,5689018.0,oct,10,2011
Management Consulting,2012,2998182.0,oct,10,2011
Engineering & Architectural Services,2012,1553795.0,oct,10,2011
Computer,2012,1265829.0,oct,10,2011
"Accounting, Auditing, Bookkeeping",2012,1394221.0,oct,10,2011
Advertising and Other Professional Services,2012,1908561.0,oct,10,2011
Hotels,2012,817207.0,oct,10,2011
Restaurants,2012,3654350.0,oct,10,2011
Sport Teams,2012,1632600.0,oct,10,2011
"Arts, Entertainment, and Other Recreation",2012,938946.0,oct,10,2011
Other Sectors,2012,9895772.0,oct,10,2011
Membership Organizations,2012,2944258.0,oct,10,2011
Employment/Outsourcing Agencies,2012,1857326.0,oct,10,2011
