naics_sector,total_accounts,net_income,gross_receipts,total,tax_year
"Accounting, Tax and Payroll Services",825,14645095,1219814,15864909,2012
Educational Services,894,1527757,536892,2064649,2012
"Accounting, Tax and Payroll Services",803,12499819,1267734,13767553,2013
Architect and Engineering,1027,2550030,1151969,3701999,2013
Computer Services,792,2647791,1261137,3908928,2013
Management and Technical Consulting,2522,9025497,2225079,11250575,2013
Advertising,338,1676933,465252,2142185,2013
Other Services,2269,3927600,962044,4889644,2013
Business Support Services **1,3402,5352166,3195494,8547660,2013
Hotels and Other Accommodations,141,1466606,1127446,2594052,2013
Health and Social Services,5420,20643168,6737438,27380606,2013
Sports,34,1848973,832883,2681856,2013
"Restaurants, Bars, and Other Food Services",4570,7210032,3943694,11153726,2013
Other Services  **2,5485,6774190,1729347,8503537,2013
All Other Sectors,3104,6274180,3204796,9478976,2013
Unclassified,13846,7167615,1320099,8487714,2013
Legal Services,2805,58528211,4596409,63124620,2013
Educational Services,904,1355410,529814,1885224,2013
Total,108130,298499165,103027973,401527138,2013
"Professional Services, subtotal",10556,90855881,11929624,102785504,2013
Insurance,646,7490882,4521384,12012266,2013
Construction,7117,11674249,9180700,20854949,2013
"Manufacturing, subtotal",2483,16745850,5196499,21942349,2013
Food and Beverage Products,355,1513642,1229699,2743341,2013
"Chemicals, Pharmaceuticals & Petroleum",226,6476058,606325,7082383,2013
Other Manufacturing,1902,8756150,3360475,12116625,2013
Wholesale Trade,2895,12446628,11828760,24275388,2013
Retail Trade,8564,22563600,16337405,38901005,2013
Real Estate (including REITS),36191,47222328,7805016,55027343,2013
"Information, subtotal",1050,17208025,3712223,20920248,2013
Publishing,215,3072521,350846,3423367,2013
Broadcasting (TV and Radio),47,2448599,508519,2957118,2013
Telecommunications,176,10283950,2156597,12440547,2013
Other Information,612,1402955,696261,2099216,2013
Banking and Related Activities,296,1591151,1057330,2648481,2013
Financial Investment Services,414,9174895,7611685,16786580,2013
Transportation and Storage,1012,3433337,1226336,4659673,2013
Banking and Related Activities,225,2316774,1510701,3827475,2014
Other Information,312,1171466,719238,1890704,2014
Telecommunications,130,11631336,2074937,13706273,2014
Broadcasting (TV and Radio),35,925940,417725,1343665,2014
Publishing,134,2556563,357190,2913753,2014
"Information, subtotal",611,16285305,3569090,19854395,2014
Transportation and Storage,590,4508321,2571820,7080141,2014
"Chemicals, Pharmaceuticals & Petroleum",195,12626723,1805744,14432467,2014
Wholesale Trade,2266,13922540,13306004,27228544,2014
Other Manufacturing,1351,8814992,3152053,11967045,2014
Food and Beverage Products,312,1588704,1381187,2969891,2014
"Manufacturing, subtotal",1858,23030419,6338984,29369403,2014
Construction,4346,12204387,9518615,21723002,2014
Financial Investment Services,297,10402926,6712684,17115610,2014
Retail Trade,5818,22389683,15791532,38181215,2014
Insurance,428,7874489,5304951,13179440,2014
Real Estate (including REITS),10698,50783868,6991662,57775530,2014
Total,48747,309244748,106128582,415373330,2014
"Professional Services, subtotal",5582,99622946,12545632,112168578,2014
Unclassified,3314,3290085,1128831,4418916,2014
All Other Sectors,1092,7814648,3262683,11077331,2014
Other Services  **2,2758,4503663,1572132,6075795,2014
"Restaurants, Bars, and Other Food Services",3451,6442929,3801724,10244653,2014
Sports,19,2213508,797993,3011501,2014
Health and Social Services,3202,13773423,6571936,20345359,2014
Educational Services,312,983349,492815,1476164,2014
Hotels and Other Accommodations,110,2041081,1169386,3210467,2014
Other Services,1022,5557287,1066218,6623505,2014
Advertising,213,1669272,449710,2118982,2014
Management and Technical Consulting,1229,10527879,2181546,12709425,2014
Computer Services,492,2661000,1270475,3931475,2014
Architect and Engineering,614,3780083,1259305,5039388,2014
"Accounting, Tax and Payroll Services",340,14311872,1387966,15699838,2014
Legal Services,1672,61115553,4930412,66045965,2014
Business Support Services **1,1770,4840404,3169407,8009811,2014
Publishing,112,728595,391361,1119956,2015
Financial Investment Services,252,7978334,11906835,19885169,2015
Banking and Related Activities,186,1509827,1212996,2722823,2015
Other Information,265,1222811,865839,2088650,2015
Telecommunications,108,9693693,2059784,11753477,2015
Broadcasting (TV and Radio),28,336085,361945,698030,2015
"Information, subtotal",513,11981184,3678929,15660113,2015
Insurance,391,10916948,5797902,16714850,2015
Retail Trade,5169,26235275,16608050,42843325,2015
Wholesale Trade,2030,13571584,13019818,26591402,2015
Other Manufacturing,1146,5966361,3536167,9502528,2015
"Chemicals, Pharmaceuticals & Petroleum",164,2774669,1377859,4152528,2015
Food and Beverage Products,291,4229621,1449163,5678784,2015
"Manufacturing, subtotal",1601,12970651,6363189,19333840,2015
Construction,3754,15908370,10562679,26471049,2015
Transportation and Storage,498,2986768,2534800,5521568,2015
Real Estate (including REITS),8275,50018238,7169900,57188138,2015
Total,40567,298970653,114968880,413939533,2015
Legal Services,1414,58734278,4785253,63519531,2015
"Professional Services, subtotal",4643,95014002,13525499,108539501,2015
Unclassified,2486,3955980,1483992,5439972,2015
All Other Sectors,958,7938256,3398912,11337168,2015
Other Services  **2,2281,4785518,1543321,6328839,2015
"Restaurants, Bars, and Other Food Services",2988,7012097,3919945,10932042,2015
Sports,16,886906,767093,1653999,2015
Health and Social Services,2692,15634792,6604329,22239121,2015
Hotels and Other Accommodations,110,3457613,1176875,4634488,2015
Business Support Services **1,1476,5119099,3223985,8343084,2015
Other Services,812,3263826,1171653,4435479,2015
Advertising,183,1837213,462146,2299359,2015
Management and Technical Consulting,999,9415344,2468976,11884320,2015
Computer Services,417,3691980,1702922,5394902,2015
Architect and Engineering,539,3011824,1344215,4356039,2015
"Accounting, Tax and Payroll Services",279,15059537,1590334,16649871,2015
Educational Services,248,1089211,469831,1559042,2015
Publishing,102,532968,413151,946119,2016
Financial Investment Services,222,4963114,8327160,13290274,2016
Banking and Related Activities,172,1481713,1383776,2865489,2016
Other Information,235,1541005,816574,2357579,2016
Telecommunications,109,9441005,1988020,11429025,2016
Broadcasting (TV and Radio),20,1106784,350821,1457605,2016
Insurance,363,12904091,6401430,19305521,2016
Construction,3474,17629842,10975208,28605050,2016
Transportation and Storage,449,3179421,1927763,5107184,2016
Retail Trade,4668,23326544,17093743,40420287,2016
Wholesale Trade,1902,12935252,12978212,25913464,2016
Other Manufacturing,1057,8224089,3439377,11663466,2016
"Chemicals, Pharmaceuticals & Petroleum",141,1308843,1178764,2487607,2016
Food and Beverage Products,268,3489109,1342686,4831795,2016
"Manufacturing, subtotal",1466,13022041,5960827,18982868,2016
"Information, subtotal",466,12621762,3568566,16190328,2016
Real Estate (including REITS),7060,51360195,7278571,58681179,2016
Business Support Services **1,1314,5316999,3155836,8472835,2016
Legal Services,1256,63926265,4956269,68882534,2016
Total,35921,309092421,113780099,422914933,2016
Unclassified,1977,4401235,1788050,6189285,2016
All Other Sectors,829,8264150,3649868,11914018,2016
Other Services  **2,1924,5033212,1589767,6622979,2016
Hotels and Other Accommodations,103,6042034,1424657,7466691,2016
Sports,17,1610030,843043,2453073,2016
Health and Social Services,2437,14731962,6814099,21546061,2016
"Restaurants, Bars, and Other Food Services",2718,8358526,4102792,12461318,2016
Other Services,742,2849632,1151702,4001334,2016
Advertising,165,3730973,647329,4378302,2016
Management and Technical Consulting,874,7698514,2358335,10056849,2016
Computer Services,373,4384542,1847845,6232387,2016
Architect and Engineering,493,3267931,1424985,4692916,2016
"Accounting, Tax and Payroll Services",235,15113719,1703212,16816931,2016
Educational Services,222,938722,427054,1365776,2016
"Professional Services, subtotal",4138,100971576,14089677,115061253,2016
"Information, subtotal",474,14170471,3718840,17889311,2017
Financial Investment Services,220,7001900,7544050,14545950,2017
Banking and Related Activities,172,1950185,1570517,3520702,2017
Other Information,255,1243401,684673,1928074,2017
Telecommunications,97,11557666,2264492,13822158,2017
Broadcasting (TV and Radio),20,920738,376120,1296858,2017
Publishing,102,448666,393555,842221,2017
Construction,3430,21247285,11378572,32625857,2017
Wholesale Trade,1818,12585794,13360135,25945929,2017
Other Manufacturing,1029,6279991,3842382,10122373,2017
"Chemicals, Pharmaceuticals & Petroleum",138,2111998,1553941,3665939,2017
Food and Beverage Products,272,1787246,1199489,2986735,2017
"Manufacturing, subtotal",1439,10179235,6595812,16775047,2017
Insurance,357,9244454,6723961,15968415,2017
Retail Trade,4608,19929827,18549773,38479600,2017
Real Estate (including REITS),7365,50040932,7586385,57627317,2017
Transportation and Storage,427,2908038,1458128,4366166,2017
Legal Services,1242,57396634,5092279,62488913,2017
"Professional Services, subtotal",4070,92099094,13958658,106057752,2017
Unclassified,1976,5687414,1899993,7587407,2017
All Other Sectors,849,6556053,3689092,10245145,2017
Other Services  **2,1923,4355680,1641939,5997619,2017
"Restaurants, Bars, and Other Food Services",2671,8483248,4234071,12717319,2017
Hotels and Other Accommodations,101,3077770,1413957,4491727,2017
Sports,16,1600960,704676,2305636,2017
Health and Social Services,2350,16777138,6997562,23774700,2017
Total,35786,294721467,116883664,411605131,2017
Business Support Services **1,1292,5988196,3490756,9478952,2017
Other Services,743,2872051,1249415,4121466,2017
Advertising,162,2328786,552571,2881357,2017
Management and Technical Consulting,840,6869972,2186713,9056685,2017
Computer Services,358,2652773,1679099,4331872,2017
Architect and Engineering,495,3664943,1388507,5053450,2017
Educational Services,228,837793,366787,1204580,2017
"Accounting, Tax and Payroll Services",230,16313935,1810074,18124009,2017
Financial Investment Services,199,5388984,7378752,12767736,2018
Banking and Related Activities,171,1837622,1811095,3648717,2018
Other Information,244,2044973,1024076,3069049,2018
Telecommunications,89,7284782,1928392,9213174,2018
Broadcasting (TV and Radio),15,689445,252656,942101,2018
Publishing,94,1447911,462598,1910509,2018
Wholesale Trade,1723,15196056,14061213,29257269,2018
Transportation and Storage,429,2749497,1647535,4397032,2018
Retail Trade,4314,22739470,18104759,40844229,2018
Other Manufacturing,960,4573740,3387845,7961585,2018
"Chemicals, Pharmaceuticals & Petroleum",114,1800940,1062163,2863103,2018
Food and Beverage Products,250,1887896,1140365,3028261,2018
"Manufacturing, subtotal",1324,8262576,5590373,13852949,2018
Insurance,340,16268207,7644460,23912667,2018
"Information, subtotal",442,11467111,3667722,15134833,2018
Real Estate (including REITS),7416,57645185,8134688,65779873,2018
Business Support Services **1,1236,6358018,3470444,9828462,2018
Legal Services,1171,58027432,4953809,62981241,2018
Total,34682,328640408,117537259,446177667,2018
Unclassified,2056,6502763,2109853,8612616,2018
All Other Sectors,863,11561173,3742704,15303877,2018
Other Services  **2,1840,4902692,1602034,6504726,2018
"Restaurants, Bars, and Other Food Services",2577,10886499,4431630,15318129,2018
Hotels and Other Accommodations,104,4056259,1675974,5732233,2018
Sports,18,1289559,858790,2148349,2018
Health and Social Services,2257,17956210,5865202,23821412,2018
Educational Services,223,1083347,373320,1456667,2018
Other Services,710,2956962,1272726,4229688,2018
Advertising,154,1372054,481550,1853604,2018
Management and Technical Consulting,772,8902294,2182122,11084416,2018
Computer Services,310,3774065,1324022,5098087,2018
Architect and Engineering,488,4006071,1409802,5415873,2018
"Accounting, Tax and Payroll Services",210,18369956,1925220,20295176,2018
"Professional Services, subtotal",3815,97408834,13549251,110958085,2018
Construction,3335,25080346,11817460,36897806,2018
